standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;132;finalCut;pulp;NorwaySpruce;108.7336;1;26.83;2917.322;;;
optiStand;1;0;0;1;332;finalCut;saw;NorwaySpruce;346.8736;1;76.39;26497.6738;;;
optiStand;1;1;1;2;22;regeneration;planting;spruceSeedling;2000;-1;0.24;480;;;
optiStand;1;1;1;2;27;regeneration;;spruceSeedingWork;2000;-1;0.2;400;;;
optiStand;1;1;1;2;44;regeneration;;ditchMounding;1;-1;521.8;521.8;;;
optiStand;1;1;1;2;50;;;drainage;1;-1;401.6;401.6;;;
optiStand;1;4;1;2;10;EarlyCleaning;;;3.6178;-1;35;126.6232;;;
optiStand;1;25;5;2;111;firstThinning;pulp;ScotsPine;0.135;1;17.1;2.3085;;;
optiStand;1;25;5;2;112;firstThinning;pulp;NorwaySpruce;30.1415;1;17.64;531.6952;;;
optiStand;1;25;5;2;113;firstThinning;pulp;SilverBirch;0.6386;1;16.86;10.767;;;
optiStand;1;25;5;2;114;firstThinning;pulp;PubescentBirch;3.2888;1;16.86;55.449;;;
optiStand;1;25;5;2;116;firstThinning;pulp;GreyAlder;0.1005;1;16.86;1.6945;;;
optiStand;1;25;5;2;119;firstThinning;pulp;OtherDeciduous;0.0318;1;16.86;0.5363;;;
optiStand;1;30;6;2;121;thinning;pulp;ScotsPine;0.0486;1;22.03;1.0711;;;
optiStand;1;30;6;2;122;thinning;pulp;NorwaySpruce;23.6404;1;22.47;531.2003;;;
optiStand;1;30;6;2;322;thinning;saw;NorwaySpruce;18.7423;1;66.52;1246.737;;;
optiStand;1;30;6;2;123;thinning;pulp;SilverBirch;0.3117;1;21.44;6.6835;;;
optiStand;1;30;6;2;124;thinning;pulp;PubescentBirch;4.5994;1;21.44;98.612;;;
optiStand;1;30;6;2;126;thinning;pulp;GreyAlder;0.0868;1;16.86;1.4636;;;
optiStand;1;30;6;2;129;thinning;pulp;OtherDeciduous;0.0124;1;16.86;0.2098;;;
optiStand;1;35;7;2;121;thinning;pulp;ScotsPine;0.0107;1;22.03;0.2365;;;
optiStand;1;35;7;2;122;thinning;pulp;NorwaySpruce;20.3147;1;22.47;456.4708;;;
optiStand;1;35;7;2;322;thinning;saw;NorwaySpruce;29.7721;1;66.52;1980.4409;;;
optiStand;1;35;7;2;123;thinning;pulp;SilverBirch;0.3893;1;21.44;8.3457;;;
optiStand;1;35;7;2;124;thinning;pulp;PubescentBirch;5.34;1;21.44;114.4888;;;
optiStand;1;35;7;2;126;thinning;pulp;GreyAlder;0.0685;1;16.86;1.1546;;;
optiStand;1;35;7;2;129;thinning;pulp;OtherDeciduous;0.0048;1;16.86;0.0808;;;
optiStand;1;46;10;2;132;finalCut;pulp;NorwaySpruce;117.8006;1;26.83;3160.5913;;;
optiStand;1;46;10;2;332;finalCut;saw;NorwaySpruce;327.5571;1;76.39;25022.0865;;;
optiStand;1;46;10;2;133;finalCut;pulp;SilverBirch;7.1123;1;24.17;171.9043;;;
optiStand;1;46;10;2;134;finalCut;pulp;PubescentBirch;30.5462;1;24.17;738.3015;;;
optiStand;1;46;10;2;136;finalCut;pulp;GreyAlder;0.4936;1;16.86;8.3219;;;
