standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;132;finalCut;pulp;NorwaySpruce;94.6468;1;26.83;2539.3744;;;
optiStand;1;0;0;1;332;finalCut;saw;NorwaySpruce;266.94;1;76.39;20391.549;;;
optiStand;1;1;1;2;22;regeneration;planting;spruceSeedling;2000;-1;0.24;480;;;
optiStand;1;1;1;2;27;regeneration;;spruceSeedingWork;2000;-1;0.2;400;;;
optiStand;1;1;1;2;44;regeneration;;ditchMounding;1;-1;521.8;521.8;;;
optiStand;1;1;1;2;50;;;drainage;1;-1;401.6;401.6;;;
optiStand;1;5;1;2;10;EarlyCleaning;;;3.7689;-1;35;131.9114;;;
optiStand;1;30;6;2;111;firstThinning;pulp;ScotsPine;0.1009;1;17.1;1.7255;;;
optiStand;1;30;6;2;112;firstThinning;pulp;NorwaySpruce;42.68;1;17.64;752.8752;;;
optiStand;1;30;6;2;312;firstThinning;saw;NorwaySpruce;4.2419;1;55.56;235.6797;;;
optiStand;1;30;6;2;113;firstThinning;pulp;SilverBirch;0.5168;1;16.86;8.7128;;;
optiStand;1;30;6;2;114;firstThinning;pulp;PubescentBirch;3.8343;1;16.86;64.646;;;
optiStand;1;30;6;2;119;firstThinning;pulp;OtherDeciduous;0.0109;1;16.86;0.1841;;;
optiStand;1;37;8;2;122;thinning;pulp;NorwaySpruce;28.3012;1;22.47;635.9286;;;
optiStand;1;37;8;2;322;thinning;saw;NorwaySpruce;35.9817;1;66.52;2393.5006;;;
optiStand;1;37;8;2;123;thinning;pulp;SilverBirch;0.2539;1;21.44;5.4435;;;
optiStand;1;37;8;2;124;thinning;pulp;PubescentBirch;4.9081;1;21.44;105.2299;;;
optiStand;1;37;8;2;129;thinning;pulp;OtherDeciduous;0.0017;1;16.86;0.0282;;;
optiStand;1;50;10;2;132;finalCut;pulp;NorwaySpruce;119.5034;1;26.83;3206.2751;;;
optiStand;1;50;10;2;332;finalCut;saw;NorwaySpruce;287.3334;1;76.39;21949.3963;;;
optiStand;1;50;10;2;133;finalCut;pulp;SilverBirch;4.3979;1;24.17;106.2972;;;
optiStand;1;50;10;2;134;finalCut;pulp;PubescentBirch;28.9564;1;24.17;699.8751;;;
